id,property_type,room_type,bathrooms,bedrooms,minimum_nights,price(in $)
1183521,Apartment,Private room,2,1,2,100
1195173,Apartment,Private room,1,1,30,70
1200068,House,Private room,1,1,30,60
1201159,Condominium,Entire home/apt,1,0,30,75
1203062,Apartment,Entire home/apt,1,2,3,225
1203172,Guest suite,Private room,1,1,3,143
1203526,Apartment,Private room,1.5,1,1,99
1203684,Apartment,Private room,1,1,1,118
1203849,Condominium,Entire home/apt,1,1,2,250
1205031,Loft,Private room,1,1,30,120
1206032,Apartment,Entire home/apt,1,2,30,125
1206184,Apartment,Private room,1.5,1,1,89
1206233,Apartment,Private room,null,1,1,79
1206261,Apartment,Private room,1.5,1,1,99
1209893,Apartment,Entire home/apt,1.5,3,2,"1,500"
1212513,Apartment,Private room,1,2,2,175
1212746,Apartment,Entire home/apt,2,3,3,625
1212822,Condominium,Entire home/apt,2,3,60,510
1214080,House,Entire home/apt,2,2,3,345
1223107,Condominium,Private room,1,1,3,148
1223704,House,Entire home/apt,1,2,29,186
1226557,Apartment,Entire home/apt,1,1,180,217
1226596,House,Private room,1,1,3,89
